THREAD 373456896: 5 moves possible after move #7; creating threads
THREAD 373993472: 3 moves possible after move #6; creating threads
THREAD 374530048: 3 moves possible after move #6; creating threads
THREAD 351993856: 7 moves possible after move #6; creating threads
THREAD 375603200: 3 moves possible after move #6; creating threads
THREAD 375066624: 2 moves possible after move #6; creating threads
THREAD 376139776: 6 moves possible after move #6; creating threads
THREAD 376676352: 3 moves possible after move #6; creating threads
THREAD 377749504: 7 moves possible after move #6; creating threads
THREAD 378286080: 3 moves possible after move #6; creating threads
THREAD 353067008: 7 moves possible after move #5; creating threads
THREAD 334823424: 7 moves possible after move #5; creating threads
THREAD 354140160: 3 moves possible after move #6; creating threads
THREAD 378822656: 7 moves possible after move #6; creating threads
THREAD 379359232: 2 moves possible after move #6; creating threads
THREAD 353603584: 7 moves possible after move #6; creating threads
THREAD 380432384: 5 moves possible after move #6; creating threads
THREAD 380968960: 2 moves possible after move #6; creating threads
THREAD 354676736: 3 moves possible after move #6; creating threads
THREAD 381505536: 5 moves possible after move #6; creating threads
THREAD 382042112: 2 moves possible after move #6; creating threads
THREAD 382578688: 3 moves possible after move #6; creating threads
THREAD 355213312: 6 moves possible after move #5; creating threads
THREAD 335360000: 3 moves possible after move #6; creating threads
THREAD 383115264: 5 moves possible after move #6; creating threads
THREAD 357359616: 3 moves possible after move #6; creating threads
THREAD 357896192: 7 moves possible after move #6; creating threads
THREAD 383651840: 3 moves possible after move #6; creating threads
THREAD 384188416: 5 moves possible after move #6; creating threads
THREAD 384724992: 3 moves possible after move #6; creating threads
THREAD 385261568: 2 moves possible after move #6; creating threads
THREAD 385798144: 7 moves possible after move #6; creating threads
THREAD 358432768: 2 moves possible after move #6; creating threads
THREAD 386334720: 3 moves possible after move #6; creating threads
THREAD 387407872: 3 moves possible after move #6; creating threads
THREAD 386871296: 7 moves possible after move #6; creating threads
THREAD 388481024: 3 moves possible after move #6; creating threads
THREAD 389017600: 7 moves possible after move #6; creating threads
THREAD 387944448: 4 moves possible after move #6; creating threads
THREAD 360579072: 5 moves possible after move #6; creating threads
